l_bound_date,facility,common_name,parameter_type,day_or_night,min_value,percentile_5,percentile_25,median_value,average_value,percentile_75,percentile_95,max_value
2025-07-22,CC1,CEA1905,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1905,temperature,Day,22.23,28.59,29.33,29.4,29.28,29.46,29.63,31.74
2025-07-22,CC1,CEA1905,temperature,Night,20.64,20.66,21.05,21.08,21.37,21.13,23.99,28.05
2025-07-22,CC1,CEA1905,temperature target,Night,21.11,21.11,21.11,21.11,23.14,25.18,25.18,25.18
2025-07-22,CC1,CEA1905,temperature target,Day,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37
2025-07-22,CC1,CEA1905,vapor pressure deficit,Day,1.06,1.68,1.77,1.8,1.79,1.84,1.87,2.11
2025-07-22,CC1,CEA1905,vapor pressure deficit,Night,0.78,0.83,0.89,0.91,0.93,0.92,1.22,1.65
2025-07-22,CC1,CEA1905,vent required,Day,10.65,46.3,51.4,55.5,53.37,56.9,61.45,68.7
2025-07-22,CC1,CEA1905,vent required,Night,58.9,59.8,61.05,63.1,63.67,64.15,76.8,77.45
2025-07-22,CC1,CEA1906,CO2 sensor,Day,353,354,358,367,383.76,405,444,491
2025-07-22,CC1,CEA1906,CO2 sensor,Night,391,409,431.5,454,455.63,484,494,496
2025-07-22,CC1,CEA1906,heating required,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1906,heating required,Day,4.8,4.8,4.8,6.65,14.15,31,31,31
2025-07-22,CC1,CEA1906,humidity,Day,49.3,49.9,50.15,50.7,51.55,52,57.25,58.6
2025-07-22,CC1,CEA1906,humidity,Night,51.35,57.2,61.35,61.75,61.63,62.5,63.8,64
2025-07-22,CC1,CEA1906,humidity target,Night,50,50,50,50,50,50,50,50
2025-07-22,CC1,CEA1906,indoor PAR light,Day,648,649,650.5,651,650.68,651,651.5,652
2025-07-22,CC1,CEA1906,indoor PAR light,Night,2,2,2,2,83,164,164,164
2025-07-22,CC1,CEA1906,indoor daily light integral,Day,0.31,2.06,9.09,18.46,18.75,27.83,35.44,37.2
2025-07-22,CC1,CEA1906,indoor daily light integral,Night,0,0,0.01,0.03,9.4,0.04,37.53,37.53
2025-07-22,CC1,CEA1906,light operation,Day,100,100,100,100,100,100,100,100
2025-07-22,CC1,CEA1906,light operation,Night,0,0,0,0,0,0,0,0
2025-07-22,CC1,CEA1906,temperature,Day,22.56,29.27,29.34,29.41,29.3,29.52,29.58,30.43
2025-07-22,CC1,CEA1906,temperature,Night,20.89,20.93,21.01,21.06,21.38,21.25,23.62,27.6
2025-07-22,CC1,CEA1906,temperature target,Day,25.37,25.37,25.37,25.37,25.37,25.37,25.37,25.37
2025-07-22,CC1,CEA1906,temperature target,Night,21.11,21.11,21.11,21.11,23.14,25.18,25.18,25.18
2025-07-22,CC1,CEA1906,vapor pressure deficit,Day,1.08,1.61,1.82,1.88,1.83,1.9,1.92,1.97
2025-07-22,CC1,CEA1906,vapor pressure deficit,Night,0.83,0.83,0.86,0.88,0.91,0.9,1.25,1.7
2025-07-22,CC1,CEA1906,vent required,Day,17.65,44.05,47.9,50.48,49.87,53.4,55.65,57.45
2025-07-22,CC1,CEA1906,vent required,Night,56.45,57.05,60.75,65,65.42,67.93,74.75,79.45
2025-07-22,CC1,CEA1907,CO2 sensor,Night,480,482,487,504.5,510.68,532,556.5,560
